time,pos1,pos2,vel1,vel2,acc1,acc2,tau0,tau1
0.126,-0.00497413,-0.110401,-0.263562,-1.1487,-4.66700000000003,0.0599999999999489,-1.10636,-0.609559
0.127,-0.00524002,-0.111549,-0.268229,-1.1486,-4.66699999999997,0.0999999999999889,-1.10728,-0.609968
0.128,-0.00551058,-0.112698,-0.272895,-1.14847,-4.666,0.129999999999963,-1.10818,-0.610368
0.129,-0.00578581,-0.113846,-0.277562,-1.14829,-4.66699999999997,0.180000000000069,-1.10905,-0.61076
0.13,-0.00606571,-0.114994,-0.282227,-1.14808,-4.66500000000003,0.210000000000043,-1.1099,-0.611144
0.131,-0.00635027,-0.116142,-0.286891,-1.14783,-4.664,0.250000000000083,-1.11072,-0.611519
0.132,-0.00663949,-0.11729,-0.291553,-1.14754,-4.662,0.289999999999901,-1.11152,-0.611885
0.133,-0.00693337,-0.118437,-0.296213,-1.14722,-4.65999999999999,0.320000000000098,-1.11228,-0.612242
0.134,-0.00723191,-0.119584,-0.300869,-1.14686,-4.65599999999999,0.359999999999916,-1.11303,-0.612591
0.135,-0.00753511,-0.120731,-0.305523,-1.14646,-4.65399999999999,0.399999999999956,-1.11374,-0.612931
0.136,-0.00784296,-0.121877,-0.310173,-1.14604,-4.64999999999998,0.420000000000087,-1.11443,-0.613262
0.137,-0.00815545,-0.123023,-0.314819,-1.14558,-4.64600000000003,0.459999999999905,-1.1151,-0.613584
0.138,-0.00847259,-0.124169,-0.31946,-1.14509,-4.641,0.490000000000101,-1.11574,-0.613897
0.139,-0.00879437,-0.125313,-0.324097,-1.14457,-4.637,0.519999999999854,-1.11635,-0.614201
0.14,-0.00912079,-0.126458,-0.328728,-1.14401,-4.63099999999999,0.560000000000116,-1.11693,-0.614496
0.141,-0.00945183,-0.127601,-0.333354,-1.14343,-4.62600000000009,0.580000000000041,-1.11749,-0.614782
0.142,-0.00978749,-0.128745,-0.337973,-1.14282,-4.61900000000004,0.609999999999999,-1.11803,-0.615059
0.143,-0.0101278,-0.129887,-0.342586,-1.14218,-4.61299999999997,0.639999999999973,-1.11853,-0.615326
0.144,-0.0104727,-0.131029,-0.347192,-1.14151,-4.60599999999999,0.669999999999948,-1.11901,-0.615584
0.145,-0.0108222,-0.13217,-0.351791,-1.14081,-4.59900000000002,0.699999999999922,-1.11947,-0.615832
0.146,-0.0111762,-0.13331,-0.356382,-1.14008,-4.59099999999995,0.730000000000119,-1.1199,-0.616071
0.147,-0.0115349,-0.13445,-0.360965,-1.13933,-4.583,0.750000000000028,-1.1203,-0.616301
0.148,-0.0118982,-0.135589,-0.365539,-1.13855,-4.57400000000002,0.780000000000002,-1.12067,-0.616521
0.149,-0.012266,-0.136727,-0.370106,-1.13775,-4.56699999999998,0.799999999999911,-1.12102,-0.616731
0.15,-0.0126384,-0.137865,-0.374662,-1.13692,-4.556,0.830000000000108,-1.12134,-0.616932
0.151,-0.0130153,-0.139001,-0.37921,-1.13606,-4.54799999999999,0.85999999999986,-1.12164,-0.617123
0.152,-0.0133968,-0.140137,-0.383748,-1.13518,-4.53799999999998,0.879999999999991,-1.1219,-0.617304
0.153,-0.0137828,-0.141271,-0.388275,-1.13428,-4.527,0.900000000000122,-1.12215,-0.617475
0.154,-0.0141733,-0.142405,-0.392793,-1.13335,-4.51800000000002,0.929999999999875,-1.12236,-0.617637
0.155,-0.0145684,-0.143538,-0.397299,-1.1324,-4.50600000000001,0.950000000000006,-1.12255,-0.617788
0.156,-0.0149679,-0.14467,-0.401794,-1.13142,-4.49499999999997,0.97999999999998,-1.12271,-0.61793
0.157,-0.015372,-0.145801,-0.406278,-1.13043,-4.48399999999998,0.990000000000046,-1.12285,-0.618062
0.158,-0.0157805,-0.146931,-0.410751,-1.12941,-4.473,1.02000000000002,-1.12296,-0.618183
0.159,-0.0161935,-0.14806,-0.415211,-1.12837,-4.46000000000002,1.03999999999993,-1.12304,-0.618295
0.16,-0.0166109,-0.149188,-0.419658,-1.1273,-4.44699999999998,1.07000000000013,-1.12309,-0.618396
0.161,-0.0170328,-0.150314,-0.424094,-1.12622,-4.43600000000005,1.07999999999997,-1.12312,-0.618487
0.162,-0.0174591,-0.15144,-0.428516,-1.12512,-4.42199999999998,1.1000000000001,-1.12313,-0.618568
0.163,-0.0178898,-0.152565,-0.432925,-1.12399,-4.40899999999999,1.12999999999985,-1.1231,-0.618639
0.164,-0.0183249,-0.153688,-0.43732,-1.12284,-4.39499999999998,1.14999999999998,-1.12305,-0.618699
0.165,-0.0187644,-0.15481,-0.441701,-1.12168,-4.38100000000002,1.16000000000005,-1.12297,-0.618749
0.166,-0.0192083,-0.155931,-0.446069,-1.12049,-4.36799999999998,1.19000000000002,-1.12287,-0.618789
0.167,-0.0196566,-0.157051,-0.450422,-1.11929,-4.35299999999999,1.20000000000009,-1.12273,-0.618818
0.168,-0.0201092,-0.15817,-0.45476,-1.11806,-4.338,1.22999999999984,-1.12258,-0.618836
0.169,-0.0205661,-0.159287,-0.459083,-1.11682,-4.32300000000002,1.24000000000013,-1.12239,-0.618844
0.17,-0.0210273,-0.160404,-0.463391,-1.11555,-4.30799999999998,1.26999999999988,-1.12218,-0.618842
0.171,-0.0214929,-0.161519,-0.467683,-1.11427,-4.29200000000001,1.27999999999995,-1.12194,-0.618829
